@relation saida
@attribute 0 numeric [2582.22412109375, 3609.308837890625]
@attribute 1 numeric [2195058.0, 2640222.0]
@attribute 2 numeric [1067041.0, 1314131.0]
@attribute 3 numeric [1905454.125, 2350332.5]
@attribute 4 numeric [4.258240649393113E8, 4.4404968133650726E8]
@attribute 5 numeric [18601.727884485554, 18816.00502172444]
@attribute 6 numeric [2404121.7977389875, 2487334.9231769913]
@attribute 7 numeric [476348.9570079999, 483312.35521000257]
@attribute 8 numeric [8464799.330215998, 8566479.214487968]
@attribute 9 numeric [7995992.061908963, 8088102.134422039]
@attribute 10 numeric [-10.297548600480019, -7.393596709998155]
@attribute 11 numeric [1817058.0, 2262222.0]
@attribute class {0,1}

@data
2690.209961,2561960,1247275,2272148,444049681.336507,18685.042215,2487334.923177,480711.816048,8498825.833968,8031816.228633,-8.229965,2183960,1
2720.256104,2436739,1089716,2146988.5,427845091.318754,18601.727884,2411402.714183,477046.583868,8464799.330216,7995992.061909,-8.073515,2058739,1
3474.15332,2500011,1181420,2210173.75,433607341.015144,18691.722474,2440120.255127,480679.26745,8508051.349484,8034678.214354,-8.351956,2122011,1
2596.29248,2489943,1196522,2200069,436981098.47285,18708.697283,2455852.697037,481150.980635,8513808.732126,8041977.598557,-7.602231,2111943,1
2682.647217,2195058,1067041,1905454.125,435668551.621912,18641.603355,2449180.008779,483043.074122,8487802.207124,8013133.769972,-10.297549,1817058,1
2582.224121,2630578,1296940,2340709,441717682.028704,18724.62349,2477499.471189,480750.338981,8517844.984837,8048828.278189,-7.685597,2252578,1
3521.179199,2452708,1168039,2162927,429973735.949457,18771.362058,2425245.102958,481275.478964,8547875.690958,8068907.642819,-8.115323,2074708,1
2601.512695,2605460,1195116,2315486,431513345.991622,18612.16492,2428044.392063,476348.957008,8465220.774501,8000482.652694,-7.404446,2227460,1
2676.458496,2434112,1214692,2144351,439594911.245423,18716.909221,2468224.883203,482588.20907,8518612.14091,8045508.432915,-7.834001,2056112,1
3267.601318,2507084,1183602,2217233,435062889.303832,18740.118852,2447546.076086,480490.894515,8528546.696639,8055483.172957,-8.196016,2129084,1
3269.222412,2431818,1156951,2142083.25,436732443.447174,18816.005022,2457142.66496,482963.376085,8566479.214488,8088102.134422,-8.087123,2053818,1
3609.308838,2359079,1131022,2069344,432229049.103592,18794.155293,2436415.364817,483312.35521,8560685.399646,8078705.349127,-8.92023,1981079,1
3375.997559,2395126,1127997,2105348,425824064.939311,18673.062374,2404121.797739,479282.871876,8502573.548871,8026651.307515,-7.977861,2017126,1
2844.665771,2577130,1286973,2287205.25,442840037.399944,18732.864038,2483031.340057,481887.680174,8523105.345123,8052370.344063,-8.143332,2199130,1
2676.156494,2500252,1203472,2210392.25,434065564.636367,18729.303631,2442854.799599,480566.696519,8524069.002108,8050833.238709,-7.393597,2122252,1
2685.057129,2640222,1314131,2350332.5,440701803.191672,18770.646327,2473891.416313,481339.021359,8539782.044117,8068609.918133,-7.61476,2262222,1
2699.455566,2601220,1256023,2311309,435842729.904061,18719.863133,2450481.599738,479618.133963,8517443.904761,8046777.773684,-7.539203,2223220,1
